id,lat,long,misc
184,15,-20,N15 00 W020 00           
185,-15,20,1520S                    
186,15,-23,1523N                    
187,15,-24,1524N                    
188,15,-25,1525N                    
189,15,-26,1526N                    
190,15,-27,1527N                    
191,15,-29,1529N                    
192,15,-30,1530N                    
193,15,-35,1535N                    
194,-15,45,S15 00 0 E045 00 0       
195,-15,50,S15 00 0 E050 00 0       
196,-15,52,S15 00 0 E052 00 0       
197,-15,53,S15 00 0 E053 00 0       
198,-15,55,S15 00 E055 00           
199,-15,60,S15 00 E060 00           
200,-15,65,S15 00 E065 00           
201,-15,70,S15 00 E070 00           
202,-15,75,S15 00 E075 00           
203,14.99666667,-23.80416667,15CVS CVS 219/115NM      
204,-16,0,S16 00 E000 00           
205,-16,10,S16 00 E010 00           
206,-16,-10,S16 00 W010 00           
207,16,-17,N16 00 W017 00           
208,16,-20,N16 00 0 W020 00 0       
209,16,-25,1625N                    
210,16,-30,1630N                    
211,16,-35,1635N                    
212,16,40,N1600 E040 00            
213,-17,0,S17 00 E000 00           
214,-17,10,S17 00 E010 00           
215,-17,-10,S17 00 W010 00           
216,17,-20,N17 00 0 W020 00 0       
217,17,-25,1725N                    
218,17,-30,1730N                    
219,17,-35,1735N                    
220,-18,0,S18 00 E000 00           
221,-18,-10,S18 00 W010 00           
222,18,-17,N18 00 W017 00           
223,18,-20,N18 00 0 W020 00 0       
224,18,-25,1825N                    
225,18,-30,1830N                    
226,18,-35,1835N                    
227,-19,0,S19 00 E000 00           
228,-19,5,S19 00 E005 00           
229,-19,10,S19 00 E010 00           
230,-19,-10,S19 00 W010 00           
231,19,-20,N19 00 0 W020 00 0       
232,19,-25,1925N                    
233,19,-30,1930N                    
234,-20,0,S20 00 E000 00           
235,-20,5,S20 00 E005 00           
236,-20,-5,S20 00 W005 00           
237,-20,10,S20 00 0 E010 00 0       
238,20,-20,N20 00 W020 00           
239,20,-21,2021N                    
240,20,-22,2022N                    
241,20,-23,2023N                    
242,20,-25,2025N                    
243,20,-26,2026N                    
244,20,-27,2027N                    
245,20,-30,2030N                    
246,-20,33.08333333,S200000 E0330500         
247,-20,45,S20 00 E045 00           
248,-20,50,S20 00 E050 00           
249,-20,55,S20 00 E055 00           
250,-20,60,S20 00 E060 00           
251,-20,65,S20 00 E065 00           
252,-20,70,S20 00 E070 00           
253,-20,75,S20 00 E075 00           
254,-20.10833333,46,TMA120                   
255,-15.91944444,34.68333333,CHILEKA CTR BDRY         
256,-21,0,S21 00 E000 00           
257,-21,10,S21 00 E010 00           
258,21,-20,N21 00 W020 00           
259,21,-25,2125N                    
260,21,-30,2130N                    
261,-22,0,S22 00 E000 00           
262,-22,10,S22 00 E010 00           
263,22,-20,N22 00 W020 00           
264,22,-25,2225N                    
265,-23,10,S23 00 E010 00           
266,23,-20,N23 00 W020 00           
267,23,-25,2325N                    
268,-24,0,S24 00 E000 00           
