id,lat,long,misc
1326,27.5,14.33638889,BRACK                    
1327,32.89166667,14.08333333,BREAM                    
1328,26.11666667,-6.616666667,BRENA                    
1329,29.59111111,-16.37277778,BRICK                    
1330,32.22055556,25.62694444,BRN43                    
1331,5.656666667,47.48583333,BUBEM                    
1332,12.6125,4.6025,BUDKA                    
1333,8.924444444,0.5119444444,BUDNO                    
1334,17.93555556,-16.08055556,BUDOS                    
1335,7.788611111,3.3975,BUDSI                    
1336,18.30277778,-13.26027778,BUGAM                    
1337,10.20833333,-2.25,BUGBU                    
1338,4.651944444,6.991944444,BUGMU                    
1339,4,-0.3058333333,BUGRI                    
1340,-17.83666667,22.43361111,BUGRO                    
1341,27.37111111,12.79055556,BHRA                     
1342,9.316666667,-13.01666667,BUKLA                    
1343,6.504444444,7.737222222,BUKLI                    
1344,-11.52972222,27.3525,BUKSO                    
1345,4.895555556,6.220277778,BULBA                    
1346,6.9225,22.09972222,BULBO                    
1347,11.27805556,21.66666667,BULGO                    
1348,27.66666667,-9.141666667,BULIS                    
1349,-1.556666667,29.005,BULNA                    
1350,30.18083333,-9.838333333,BULOK                    
1351,-0.4219444444,7.281111111,BULOS                    
1352,12.65,-0.5383333333,BULSA                    
1353,-11.13694444,43.39833333,BULSO                    
1354,14.04111111,-24.50333333,BULVO                    
1355,-4.126666667,27.26833333,BUMAG                    
1356,12.46666667,-12.96666667,BUMBI                    
1357,4.763333333,0.335,BUMBO                    
1358,-0.1933333333,21.06666667,BUMEL                    
1359,8.375,8.8,BUMGI                    
1360,1.848611111,29.59777778,BUN40                    
1361,10.25,-11,BUNAP                    
1362,-1.842777778,10.35333333,BUNDO                    
1363,7.051111111,-5.233611111,BUNKA                    
1364,16.57444444,13.6575,BUNLU                    
1365,14.63361111,-6.796944444,BUNVO                    
1366,14.45277778,-11.59138889,BUPAS                    
1367,16,8.805555556,BUPIL                    
1368,16.94666667,14.86444444,BURAT                    
1369,27.37166667,12.79,BURHA                    
1370,-1.751666667,24.72166667,BUROL                    
1371,11.75472222,-2.921666667,BUROM                    
1372,29.20916667,-13.2725,BUSAP                    
1373,-6.773333333,19.76333333,BUSIV                    
1374,5.655555556,-6.3975,BUSOT                    
1375,-3.916666667,60,BUSUX                    
1376,-5.5,-10,BUTEM                    
1377,-16.89333333,-8.175,BUTOG                    
1378,5.5,-25.83333333,BUVUK                    
1379,-32,15,BUXIR                    
1380,8.483888889,-29.78305556,BUXON                    
1381,38.11305556,3.151388889,BUYAH                    
1382,8.695,-1.068333333,BVOLA                    
1383,-4.370277778,15.10888889,BW2                      
1384,25,-14.94111111,CABEL                    
1385,26.13888889,-14.64388889,CABOJ                    
1386,-7.613055556,20.7375,CAITA                    
1387,27.99972222,-14.64805556,CANIS                    
1388,26,-11.19472222,CARIM                    
1389,-9.583333333,70,CATHY                    
1390,37.115,2.884166667,CELBA                    
1391,-19.07888889,33.435,CH600                    
1392,27.23361111,-4.17,CHAMI                    
1393,-18.95666667,47.74333333,CHARLI                   
1394,10.92111111,15.5975,CHARI                    
1395,35.66666667,1.916111111,CHIGA                    
1396,35.66666667,4.063611111,CHLAL                    
1397,32.67,16.02,CIBIA                    
1398,31.3,17.4,CILBA                    
1399,33.1275,4.391388889,CITER                    
1400,33.28333333,12.13333333,CLAMS                    
1401,1.77,60,CLAVA                    
1402,-25.62,27.79,COBRA                    
1403,28.32833333,-15.24194444,COLON                    
1404,32.99694444,13,CONCH                    
1405,-22.74611111,17.50277778,COOEE                    
1406,27.36,-13.70222222,COSTI                    
1407,5.73,47.43166667,CRAIG                    
1408,29.61,31.33055556,CRS                      
1409,-18.58333333,30.27666667,CTA01                    
1410,-19.53333333,29.14666667,CTA02                    
1411,-20.76666667,29.06666667,CTA-1                    
1412,-12.56666667,26.63833333,CTR01                    
1413,-13,29,CTR03                    
1414,-15.92,34.68333333,CTR03                    
1415,-13.23833333,31.62055556,CTR BDRY                 
1416,-13.34833333,32.20916667,CTR BDRY                 
1417,-15.07694444,28.75,CTR BDRY                 
1418,-14.68277778,28.48944444,CTR BDRY                 
1419,-13.45361111,28.88333333,CTR BDRY                 
1420,-12.78388889,28.8575,CTR BDRY                 
1421,-14.84277778,28.08083333,CTR BDRY                 
1422,-15.63027778,28.71722222,CTR BDRY                 
1423,-15.74833333,28.41833333,CTR BDRY                 
1424,-14.975,28.70666667,CTR BDRY                 
1425,-15.61833333,28.10833333,CTR BDRY                 
1426,-17.605,26.045,CTR BDRY                 
1427,-15.18833333,28.825,CTR BDRY                 
1428,-13.48333333,33.895,CTR32                    
1429,-13.54666667,34.01833333,CTR33                    
1430,15.82916667,-23.39777778,CVS60 CVS 219/60NM       
1431,-33.33333333,17.66666667,D46ZUI                   
1432,12.16333333,2.015,D80NY                    
1433,-26.33333333,5,DABUR                    
1434,34.49916667,8.087222222,DAFRI                    
1435,6.4,34.2,DAGAP                    
1436,36.36527778,1.5,DAHRA                    
1437,29.4675,17.93166667,DAHRA                    
1438,14.95,4.583333333,DAMNA                    
1439,25.78527778,29.45222222,DAMPO                    
1440,30.46805556,20.925,DAMUN                    
1441,28.85166667,28.1025,DANAD                    
1442,-21.65083333,28.43277778,DANAM                    
1443,-3.801388889,52.41,DANEL                    
1444,25.22805556,33.15138889,DANOG                    
1445,17.2375,32.46416667,DANUD                    
1446,18.70555556,37.54472222,DAPEN                    
1447,-7.933055556,40.50388889,DARAS                    
1448,19.53305556,33.04777778,DARIB                    
1449,33.52361111,21.0125,DARIP                    
1450,9.188888889,47.35333333,DAROT                    
1451,7.081666667,29.82055556,DASAG                    
1452,13.56833333,38.43333333,DASEN                    
1453,28.68444444,34.06,DASOT                    
1454,23.0225,37.14472222,DASPA                    
1455,-8.717777778,41.49277778,DASTA                    
1456,7.8225,33.13333333,DASTU                    
1457,-2.098611111,30.89611111,DATAN                    
1458,15.47583333,30.22305556,DATIM                    
1459,29.60666667,34.23333333,DATOK                    
1460,11.58083333,36.43,DAVIT                    
1461,26.34277778,30.15111111,DAVIX                    
1462,33.87166667,5,DAYAT                    
1463,28.32166667,20.87666667,DAYFA                    
1464,-3.424722222,50,DEBNO                    
1465,14.74,28.17694444,DEBOX                    
1466,13.7425,38.91416667,DEBRE                    
1467,22.70888889,37.62194444,DEDLI                    
1468,9.050833333,18.20305556,DEDOT                    
1469,10.46277778,33.52611111,DEDVA                    
1470,7.431944444,38.83944444,DEGAG                    
1471,18.2625,-15.83805556,DEGAM                    
1472,-4.102777778,15.37972222,DEGAR                    
1473,6.491111111,-4.485555556,DEGAS                    
1474,31.24138889,31.17638889,DEGDI                    
1475,5.252777778,0.05944444444,DEGIX                    
1476,10.97388889,-13.59194444,DEGOX                    
1477,28.19722222,-15.18305556,DEKAM                    
1478,1.483055556,13.31083333,DEKAR                    
1479,12.81388889,-0.007777777778,DEKAS                    
1480,18.55583333,-10.52722222,DEKET                    
1481,22,12.46833333,DEKIL                    
1482,9.684444444,-0.7372222222,DEKIN                    
1483,-18.67583333,47.23722222,DEKIR                    
1484,5.216666667,-31.63166667,DEKON                    
1485,4.628333333,29.66,DEKUM                    
1486,13.65388889,8.815555556,DELAD                    
1487,36.98555556,9.153888889,DELAL                    
1488,14.66694444,29.11222222,DELAM                    
1489,8.336666667,-26.05166667,DELAX                    
1490,9.404722222,-13.2275,DELAX                    
1491,15.285,12.155,DELIS                    
1492,23.56722222,-6.923333333,DELIX                    
1493,28.51111111,34.53666667,DELNA                    
1494,13.24166667,3.551666667,DELOT                    
1495,18.13583333,-16.32055556,DELOV                    
1496,5.65,-11.01666667,DEMAR                    
1497,-7.509444444,20.61861111,DEMBE                    
1498,0.2452777778,9.3975,DEMEK                    
1499,28.20027778,-13.83972222,DEMEX                    
1500,16.45166667,-15.48527778,DEMIL                    
1501,13.54222222,-12.71777778,DEMOL                    
1502,18.53,16,DEMOX                    
1503,9.534166667,26.75166667,DEMTI                    
1504,33.94583333,-5.256388889,DEMUM                    
1505,-0.8686111111,6.230277778,DENAD                    
1506,11.88277778,17.57555556,DENAT                    
1507,15.50166667,34.27833333,DENDI                    
1508,15.45666667,-25.69222222,DENER                    
1509,36.19222222,11.04805556,DENIB                    
1510,13.2,-9.126666667,DENIS                    
1511,9.562222222,1.003333333,DENIT                    
1512,-10,50.46833333,DENLI                    
1513,31.05166667,-9.589444444,DENOB                    
1514,13.50722222,-16.85444444,DENOS                    
1515,9.418055556,-7.721111111,DENOT                    
1516,8.831666667,7.139444444,DENUP                    
1517,2.123055556,22.02194444,DEPAK                    
1518,14.37638889,-17.07,DEPAL                    
1519,-9.280277778,15.22111111,DEPAN                    
1520,25.56555556,33.07666667,DEPDI                    
1521,6.743055556,-1.755,DEPIG                    
1522,26.41055556,30.23694444,DEPNO                    
1523,13.48,14.99055556,DEPOS                    
1524,15.73361111,-8.168055556,DEPOX                    
1525,9.473055556,2.307777778,DEPUB                    
1526,3.866111111,12.715,DEPUB                    
1527,0.3338888889,27.94027778,DEPUV                    
1528,17.33138889,12.93444444,DEREN                    
1529,3.863333333,12.71666667,DEREP                    
1530,26.72305556,-15.21083333,DEREV                    
1531,37.97944444,8.883611111,DERIV                    
1532,29.795,11.31666667,DERJE                    
1533,33.15,13.36722222,DERKA                    
1534,30.22444444,16.67083333,DERNI                    
1535,15.45,0.6216666667,DERON                    
1536,8.925555556,38.65083333,DERTU                    
1537,3.475833333,12.69638889,DESAM                    
1538,25.32555556,30.50944444,DESDO                    
1539,0.8083333333,18.63666667,DESEK                    
1540,20,8.753333333,DESIR                    
1541,5.904444444,1.191666667,DESOB                    
1542,10.25,-13.41666667,DESOR                    
1543,1.266111111,8.083333333,DESOS                    
1544,-2.046666667,41.45944444,DESRA                    
1545,30.38972222,-13.31833333,DESUM                    
1546,34.04916667,-4.5975,DETAD                    
1547,12.88305556,8.8075,DETAR                    
1548,14.65111111,14.99055556,DETEL                    
1549,29.50166667,-13.44361111,DETIV                    
1550,-9.981111111,13.96277778,DETKU                    
1551,7.928888889,-4.988611111,DETLA                    
1552,29.24805556,-12.71833333,DEVLA                    
1553,4,-7.5,DEVLI                    
1554,33.04361111,-7.728055556,DEVNO                    
1555,7.341666667,-7.415277778,DEVRA                    
1556,26.92833333,-13.205,DEXAD                    
1557,0.8166666667,36.47,DG SECTOR POINT          
1558,33.66888889,6.561944444,DHIBA                    
1559,-5.49,11.85333333,DIBGO                    
1560,29.27222222,-13.33583333,DIBIB                    
1561,11.54,2.258611111,DIBSA                    
1562,4.251388889,-1.650555556,DIBTA                    
1563,29.61944444,-9.688888889,DIDAN                    
1564,12.64277778,4.485833333,DIDBI                    
1565,-3.5225,11.56972222,DIDKO                    
1566,11.08583333,7.482777778,DIDLU                    
1567,-21.22666667,55.16194444,DIDMO                    
1568,36.70722222,11.03138889,DIDON                    
1569,32.74166667,-6.025833333,DIDOV                    
1570,35.13027778,-2.377222222,DIGEX                    
1571,9.660833333,-31.37055556,DIGUN                    
1572,-3.606666667,28.63833333,DIKBA                    
1573,9.788333333,-17.62444444,DIKBA                    
1574,5.966666667,-1.666666667,DIKMA                    
1575,14.78583333,5.108333333,DIKNO                    
1576,18.49833333,-15.83194444,DIKTA                    
1577,17.99222222,-16.14527778,DILBI                    
1578,-13.72166667,16.40833333,DILBO                    
1579,-4.107777778,16.14277778,DILGO                    
1580,14.5,39.8,DILKA                    
1581,6.865,9.981666667,RIMIG                    
1582,12.5,-15.38194444,DILPO                    
1583,9.595277778,0.9258333333,DILSO                    
1584,36.405,8.366666667,DIMAO                    
1585,-17.78333333,10.5,DIMIX                    
1586,9.504166667,-5.374444444,DIMKA                    
1587,-2.234444444,13.85111111,DIMLA                    
1588,31.97194444,-12.39888889,DIMSA                    
1589,5.714722222,10.23944444,DIMTO                    
1590,-2.075833333,8.447777778,DINDA                    
1591,5.826111111,2.017777778,DINDI                    
1592,-22.44416667,17.82583333,DINKM                    
1593,7.186666667,11.755,DINPO                    
1594,17.57166667,14.84166667,DINTA                    
1595,6.939722222,15.53138889,DIPKO                    
1596,0,-6,DIPLA                    
1597,33.96972222,-6.516111111,DIRAD                    
1598,-17.93,47,DIRBA                    
1599,7.558333333,-10.24472222,DIRDI                    
1600,8.879722222,7.070555556,DIRDU                    
1601,5.221388889,-1.069444444,DIRKO                    
1602,11.78333333,-13.15,DIRNO                    
1603,8.583333333,8.273333333,DIRVA                    
1604,4.805833333,5.198888889,DISLA                    
1605,-11.31722222,43.6325,DISLO                    
1606,24.14861111,-15.60777778,DISMA                    
1607,14.04361111,-14.81944444,DISNO                    
1608,33.68694444,13.24111111,DISOL                    
1609,15.24777778,5.090555556,DISPI                    
1610,-7.041111111,14.135,DISPO                    
1611,26.98416667,25,DITAR                    
1612,-4.625,23.96,DITRO                    
1613,-11.66916667,27.34972222,DIVBI                    
1614,22.03222222,3,DIVEM                    
1615,16.6875,-18,DIVKA                    
1616,17.81416667,14.02638889,DIVNA                    
1617,29,-8.799722222,DIVUX                    
1618,6.169722222,6.769166667,DME05                    
1619,-18.54083333,46.50194444,DOBAR                    
1620,-19.33583333,53.41944444,DOBUT                    
1621,-21.91666667,65,DODON                    
1622,-25.50888889,30.57694444,DODOS                    
1623,30.23166667,-10.24277778,DOGAN                    
1624,13.59472222,4.365833333,DOGON                    
1625,33.21333333,17.72,DOLFI                    
1626,33.01555556,-9.579444444,DOMOG                    
1627,33.6975,-6.575,DONAS                    
1628,38.5275,8.883611111,DOPEL                    
1629,4.538611111,-6.646111111,DOPER                    
1630,34.3625,-3.474722222,DOTIV                    
1631,27.66111111,-15.50305556,DRAGO                    
1632,27.65555556,-15.50666667,DRANO                    
1633,-1.0025,32.38833333,DUDGA                    
1634,-18.78666667,59.67166667,DUDIP                    
1635,-29.35527778,30.175,DUDMA                    
1636,-28.49055556,17.93083333,DUDMO                    
1637,12.23944444,37.5475,DUDMU                    
1638,-19.97805556,23.67361111,DUDRA                    
1639,-24.22222222,34.92583333,DUDRO                    
1640,0.3275,32.03527778,DUDVO                    
1641,-31.39777778,27.86,DUDVU                    
1642,-13.43083333,25.43305556,DUGBA                    
1643,-20.10777778,13.69277778,DUGNU                    
1644,-26.22472222,22.42611111,DUGPA                    
1645,-11.66,11.34277778,DUGRA                    
1646,-14.94,38.62805556,DUGTI                    
1647,-30.38,30.75,DUKMU                    
1648,2.868055556,45.80805556,DUKNI                    
1649,-26.34,30.78638889,DUKRA                    
1650,11.11,39.72638889,DUKRI                    
1651,-0.09305555556,32.60805556,DUKTO                    
1652,18.16833333,39.005,DULAB                    
1653,-25,13.98555556,DULGO ENTRY/EXIT         
1654,-25.95638889,31.22361111,DULPU                    
1655,-31.08305556,28.94416667,DULRI                    
1656,-24.63027778,25.2125,DULTO                    
1657,-21.85861111,35.23666667,DULVI                    
1658,-0.7533333333,30.43833333,DUMDU                    
1659,-24.08611111,29.03055556,DUMGO                    
1660,1.003055556,45.34305556,DUMLO                    
1661,-4.1725,35.48388889,DUMPA                    
1662,-18.71333333,21,DUMPO                    
1663,-22.6275,17.4675,DUNBA                    
1664,-4.867222222,38.79833333,DUNDO                    
1665,2.568055556,40.2425,DUNLI                    
1666,-22.02,19.04166667,DUNLO                    
1667,-17.95611111,19.72055556,DUNRU                    
1668,-30.235,30.48722222,DUNSA                    
1669,0.1819444444,32.56972222,DUNVA                    
1670,-31.45666667,28.44083333,DUNVI                    
1671,-21.71666667,21,DUPKI                    
1672,-13.64055556,40.11527778,DUPLA                    
1673,-23.03333333,22.93333333,DUPTA                    
1674,-15.59333333,38.85333333,DURMO                    
1675,-7.989722222,20.03833333,DURNA                    
1676,11.29722222,40.04972222,DURTA                    
1677,-16.78833333,26.32833333,DURTO                    
1678,13.10972222,37.86916667,DUSDI                    
1679,-10.63,40.21666667,DUSKA                    
1680,-25.17444444,31.40027778,DUSKO                    
1681,7.696666667,41.84777778,DUSKU                    
1682,-24.97333333,26.65027778,DUSLI                    
1683,-25.19944444,32.98111111,DUSRU                    
1684,4.196666667,48.65666667,DUSTO                    
1685,-19.42111111,27.01305556,DUSVA                    
1686,-25.29527778,32.02361111,DUTGI                    
1687,13.92916667,38.59055556,DUTMI                    
1688,-2.567777778,33.18083333,DUMTO                    
1689,-24.49333333,17.80138889,DUTPU                    
1690,12.90055556,36.62694444,DUTVA                    
1691,-18.86055556,28.57055556,DUVLO                    
1692,-27.98666667,28.52138889,DUVPI                    
1693,-14.1,33.98444444,DVL 20                   
1694,-6.243333333,20.28833333,EBADA                    
1695,1.8025,17.82,EBAKO                    
1696,24.25805556,-8.846111111,EBATI                    
1697,-4.578333333,15.57833333,EBDAD                    
1698,-2.804444444,8.962777778,EBETI                    
1699,10.045,13.28,EBIMU                    
1700,30.20611111,12.40194444,EBITO                    
1701,10.93333333,-13.29805556,EBNEM                    
1702,-4.553333333,15.02638889,EBNON                    
1703,17.51833333,13.35527778,EBNOS                    
1704,11.705,2.505555556,EBOLO                    
1705,5.133333333,-11.58333333,EBRAK                    
1706,12.38861111,4.209166667,EBRAN                    
1707,19.43388889,14.77083333,EBRAX                    
1708,-5.288333333,24.17,EBREL                    
1709,4.389166667,-7.415,EBRID                    
1710,9.427777778,-13.21777778,EBROS                    
1711,3.855,9.113333333,EBROT                    
1712,-4.645,10.26722222,EBSEN                    
1713,6.8225,3.191944444,EBSEX                    
1714,18.00388889,-15.52305556,EBSIR                    
1715,11.50194444,-5.248333333,EBSUD                    
1716,20.33194444,1.201388889,EBTAM                    
1717,9.523888889,-0.01444444444,EBTOB                    
1718,-0.7355555556,9.962222222,EBTOL                    
1719,2.853333333,20.07166667,EBULA                    
1720,2.01,6.583333333,EBULI                    
1721,5.524722222,1.807222222,EBUSO                    
1722,15.54611111,0.1730555556,EBVAP                    
1723,4.691944444,7.719166667,EBVAT                    
1724,11.96027778,9.414166667,EBVIS                    
1725,27.66666667,-10.51666667,ECHED                    
1726,30.31694444,-9.229166667,ECHO                     
1727,9.158333333,39.62,ECHO                     
1728,28.04,-15.33944444,ECKOS                    
1729,2.518333333,28.22,EDAGA                    
1730,19.5,7.8175,EDAGO                    
1731,-22.18333333,40.63333333,EDAMA                    
1732,10.79444444,-6.876388889,EDAMO                    
1733,15.99416667,12.97777778,EDARA                    
1734,9.866666667,-12.03333333,EDBAL                    
1735,7.388611111,5.456666667,EDBAM                    
1736,3.883333333,20.53333333,EDBAS                    
1737,5.045,2.195277778,EDBET                    
1738,4.606944444,25.19833333,EDBIV                    
1739,10.02805556,11.40972222,EDBOB                    
1740,6.825277778,4.945277778,EDBUR                    
1741,9.9475,1.168333333,EDDER                    
1742,3.932777778,10.15861111,EDEBA                    
1743,12.47416667,-1.104166667,EDGAS                    
1744,6.991944444,5.186111111,EDGEP                    
1745,12.45916667,-4.526666667,EDGIB                    
1746,8.704722222,4.823055556,EDGIM                    
1747,6.558888889,4.405833333,EDGOT                    
1748,-0.345,29.285,EDGOX                    
1749,6.964166667,7.101944444,EDGUK                    
1750,8,16.16888889,EDGUM                    
1751,0.5583333333,18.94333333,EDIKU                    
1752,2.22,29.49333333,EDILO                    
1753,16.13194444,-26.26666667,EDIPA                    
1754,13.655,42.155,EDITO                    
1755,4.73,6.491944444,EDKAN                    
1756,11.93194444,9.531111111,EDKIR                    
1757,13.38,0.84,EDKOX                    
1758,6.776944444,3.325833333,EDKUV                    
1759,0.09666666667,22.855,EDLAM                    
1760,-6.1,16.9,EDLIN                    
1761,17.595,-22.43972222,EDLIR                    
1762,-1.903888889,8.614166667,EDOTO                    
1763,18.5,2.327222222,EDUBA                    
1764,3.488333333,5.906388889,EDUKO                    
1765,22.915,-23.60166667,EDUMO                    
1766,-6.083333333,24.35,EDUSA                    
1767,17.19861111,-14.59638889,EGABU                    
1768,4.860555556,-3,EGADU                    
1769,8.15,-13.63333333,EGAGA                    
1770,0.6238888889,20.61277778,EGAKI                    
1771,7.487777778,31.62111111,EGBIM                    
1772,-19.21666667,23.05,EGBOK                    
1773,-15,56.97583333,EGLET                    
1774,26.07166667,32.66916667,EGLIB                    
1775,-24.65166667,25.56611111,EGLIG                    
1776,-22.8525,17.28694444,EGLIK                    
1777,-19.77916667,53.12138889,EGLIP                    
1778,13.09,37.8925,EGLOG                    
1779,0.7486111111,47.40333333,EGLOM                    
1780,-1.856388889,34.99527778,EGLOX                    
1781,-23.77083333,35.23305556,EGLUG                    
1782,-19.76138889,23.64694444,EGLUX                    
1783,-19.74611111,34.70888889,EGLUX                    
1784,-34.02722222,23.5025,EGMAB                    
1785,-21.93333333,40,EGMAD                    
1786,-17.29,38.62166667,EGMAR                    
1787,-22.99638889,18.16861111,EGMAS                    
1788,-19.90416667,23.73083333,EGMAT                    
1789,-10.76,11.95555556,EGMAT                    
1790,-25.64583333,28.96805556,EGMEN                    
1791,-34.12527778,21.79055556,EGMEP                    
1792,9.026388889,34.40472222,EGMER                    
1793,6.968333333,43.06666667,EGMES                    
1794,-3.980277778,35.7325,EGMIL                    
1795,-20.67472222,23.89833333,EGMIR                    
1796,-17.15388889,29.55944444,EGMOK                    
1797,-19.5675,26.59833333,EGMUM                    
1798,4.200833333,34.37277778,EGMUX                    
1799,-14.425,11.29,EGNAB                    
1800,9.160833333,37.08583333,EGNAK                    
1801,26.48222222,30.32833333,EGNAM                    
1802,-3.134722222,40.0825,EGNAV                    
1803,-11.35,40.35,EGNAX                    
1804,-21.57972222,24.98055556,EGNES                    
1805,0.215,32.12833333,EGNEX                    
1806,9.241388889,56.71333333,EGNIP                    
1807,-15.66805556,28.2075,EGNIS                    
1808,-0.3291666667,36.92055556,EGNIT                    
1809,-1.094166667,38.04833333,EGNOG                    
1810,-30.90083333,22.44305556,EGNOM                    
1811,-27.49861111,20.66111111,EGNOR                    
1812,-14.08861111,0.0008333333333,EGNOS                    
1813,4.258888889,34.14777778,EGNUL                    
1814,-5.794444444,37.92694444,EGNUM                    
1815,-13.55166667,1.466666667,EGOLI                    
1816,-19.335,36.095,EGPAD                    
1817,-20.10166667,18.48166667,EGPAD                    
1818,-12.90166667,27.81833333,EGPAK                    
1819,26.24666667,30.03,EGPAR                    
1820,-31.51805556,28.96194444,EGPEB                    
1821,-19.85333333,23.71444444,EGPED                    
1822,-8.653333333,13.30833333,EGPEK                    
1823,-5.877222222,39.39444444,EGPET                    
1824,-10.91055556,16.12333333,EGPIT                    
1825,-24.505,32.75833333,EGPON                    
1826,-26.28138889,27.51083333,EGPOP                    
1827,-17.28888889,20.97777778,EGPOR                    
1828,-8.75,29.58333333,EGPOT                    
1829,-27.84361111,14.02666667,EGRAP                    
1830,-23.49166667,17.63722222,EGRED                    
1831,-1.078888889,30.38305556,EGREK                    
1832,-21.31527778,25.09194444,EGRIK                    
1833,-20.29138889,23.54277778,EGRIV                    
1834,-21.08638889,14.01166667,EGRIX                    
1835,-23.91194444,22.78555556,EGROS                    
1836,11.345,45.98333333,EGROV                    
1837,-31.16805556,23.26083333,EGRUP                    
1838,11.495,38.33166667,EGRUR                    
1839,-20.01,23.34138889,EGRUT                    
1840,-28.00277778,27.14305556,EGSAN                    
1841,0.5552777778,45.91666667,EGSAP                    
1842,-12.16666667,28.75,EGSAR                    
1843,-6.445,42.45722222,EGSEM                    
1844,-15.85555556,35.20611111,EGSID                    
1845,13.09416667,37.02638889,EGSIK                    
1846,-0.4352777778,32.67083333,EGSIM                    
1847,-4.525833333,35.27611111,EGSIX                    
1848,-28.39194444,34.69194444,EGSOX                    
1849,-13.11,22,EGSUD                    
1850,18.95722222,27.7625,EGSUM                    
1851,-17.8975,25.62861111,EGSUS                    
1852,-11.16805556,39.24777778,EGTAN                    
1853,-30.77111111,26.8175,EGTAP                    
1854,-28.12722222,18.35138889,EGTAR                    
1855,-19.74388889,21.87638889,EGTIG                    
1856,-31.03972222,22.86527778,EGTIL                    
1857,-33.16027778,25.69027778,EGTIM                    
1858,-8.786666667,13.49333333,EGTIN                    
1859,-22.14222222,35.47055556,EGTOD                    
1860,14.75305556,35.65361111,EGTOT                    
1861,12.20888889,39.07444444,EGTOX                    
1862,7.343611111,48.52277778,EGTUL                    
1863,-4.869722222,16.64527778,EGVID                    
1864,-14.42138889,39.29083333,EGVOG                    
1865,-34.04694444,31.02944444,EGVOL                    
1866,-3.778888889,39.62277778,EGVOM                    
1867,-23.51666667,28.11583333,EKBAP                    
1868,10.76527778,57.2175,EKBAS                    
1869,-39.21666667,0,EKBED                    
1870,-12.22666667,32.615,EKBEG                    
1871,11.38222222,55,EKBEL                    
1872,-8.346944444,18.87111111,EPLAV                    
1873,-18.01388889,25.59416667,EKBES                    
1874,-34.19972222,18.53277778,EKBEV                    
1875,-28.01083333,25.78972222,EKBEX                    
1876,-24.48611111,26.26611111,EKBID                    
1877,-15.66222222,28.71333333,EKBIS                    
1878,-15.71805556,26.63305556,EKBIT                    
1879,-5,8,EKBOB                    
1880,11.39166667,39.24,EKBOB                    
1881,-19.22055556,23.04361111,EKBOG                    
1882,-20.37222222,18.89583333,EKBOL                    
1883,-28.30944444,17.61833333,EKBON                    
1884,14.41833333,40.36666667,EKBOR                    
1885,-24.26777778,22.73,EKBOT                    
1886,-10.66666667,30,EKBOV                    
1887,-34.91277778,25.12805556,EKBOX                    
1888,-17.23166667,26.44833333,EKBUG                    
1889,3.996944444,36.08416667,EKBUL                    
1890,12.58,3.454166667,EKDOM                    
1891,-23.37333333,32.88333333,EKEOT                    
1892,34.33333333,20.48194444,EKLIS                    
1893,0.9166666667,24.62805556,EKPUM                    
1894,31,0.5827777778,EKRAK                    
1895,30.7025,-9.186666667,EKTAL                    
1896,0.1388888889,24.97277778,EKVAX                    
1897,0.3627777778,35.03166667,EL007                    
1898,-26.16194444,31.71694444,ELAND                    
1899,-5.118888889,40.38416667,ELAVA                    
1900,34,23.12972222,ELDIM                    
1901,25.315,33.49277778,ELELI                    
1902,-14.945,33.07666667,ELEPA                    
1903,24.83333333,15.63138889,ELGAN                    
1904,31.06694444,34.135,ELIGI                    
1905,35.42138889,10.72916667,ELJEM                    
1906,38.26194444,9.252777778,ELKIS                    
1907,29.13027778,-13.67583333,ELNAN                    
1908,-2.319166667,30.83388889,ELOBO                    
1909,16.60972222,34.65944444,ELONO                    
1910,14.59027778,35.20055556,ELUDU                    
1911,14.54805556,33.14805556,ELULA                    
1912,18.34388889,26.02388889,ELUXO                    
1913,5.032777778,49.95,EMALU                    
1914,-0.5833333333,41,EMAMA                    
1915,19.27944444,25.44833333,EMAMU                    
1916,25.63027778,31.86305556,EMENA                    
1917,14.35833333,33.745,EMITA                    
1918,3.392222222,52.41472222,EMKAB                    
1919,34.12027778,-4.351111111,EMKOK                    
1920,-4.895,15.99833333,EMKON                    
1921,-4.51,16.18527778,EMPET                    
1922,1.349444444,17.94,EMSAT                    
1923,9.783333333,12.555,EMSAX                    
1924,17.3,14.51833333,EMSUL                    
1925,-6.205833333,18.24138889,EMTAB                    
1926,-4.751666667,-3,EMTAL                    
1927,4.750833333,-1.981666667,EMTAX                    
1928,0.4883333333,12.69305556,EMTIP                    
1929,0.9966666667,41.00166667,ENABO                    
1930,-33.76666667,18.3,ENAKU                    
1931,-16.71277778,32.82,ENAKU                    
1932,4,-6.440833333,ENASA                    
1933,2.933333333,20.25333333,ENBAK                    
1934,-10.55,14.31916667,ENBED                    
1935,5.13,6.349444444,ENBOS                    
1936,13.28333333,12.71611111,ENBUT                    
1937,-14.54166667,42.825,ENDEL                    
1938,21.125,11.5,ENDOK                    
1939,2.888333333,28.75333333,ENDOX                    
1940,2.8,-4.281666667,ENERA                    
1941,10.2675,15.89472222,ENERI                    
1942,7.2975,16.35777778,ENERO                    
1943,27.92472222,-14.99388889,ENETA                    
1944,5.201666667,1.585,ENEVO                    
1945,7.915,9.951666667,ENIDA                    
1946,9.498611111,-0.8027777778,ENIDO                    
1947,-3.961944444,11.22388889,ENINA                    
